Source IP,Destination IP,Protocol,Port,Size,Time
192.168.1.9,8.8.6.31,TCP,3389,4205,2025-05-05 18:24:31
192.168.1.222,1.1.1.237,TCP,110,3040,2025-05-04 14:38:17
192.168.1.8,8.8.8.110,TCP,31935,3766,2025-05-02 01:40:22
10.10.10.11,172.217.73.7,TCP,80,6779,2025-05-04 23:18:40
10.10.10.10,1.1.1.218,UDP,19298,3581,2025-05-04 02:05:50
192.168.1.40,172.217.148.53,UDP,69,311,2025-05-07 19:41:20
192.168.1.198,1.1.1.20,UDP,69,1228,2025-05-03 08:40:54
10.10.10.11,172.217.18.147,UDP,5399,6655,2025-05-04 02:00:02
192.168.1.7,1.1.1.2,UDP,68,634,2025-05-02 09:55:19
10.10.10.10,8.8.7.206,UDP,67,8793,2025-05-02 04:11:22
192.168.1.208,172.217.135.248,TCP,443,1665,2025-05-07 18:39:09
192.168.1.58,172.217.14.163,UDP,67,354,2025-05-07 09:19:38
192.168.1.179,172.217.108.75,TCP,80,2293,2025-05-04 15:38:24
10.10.10.10,172.217.0.142,TCP,443,6325,2025-05-03 23:14:29
192.168.1.24,1.1.1.25,UDP,69,686,2025-05-06 04:48:59
192.168.1.237,172.217.129.130,ICMP,0,481,2025-05-01 19:02:33
192.168.1.223,172.217.76.205,UDP,53,487,2025-05-03 01:45:30
192.168.1.170,8.8.5.178,ICMP,0,194,2025-05-02 18:23:11
192.168.1.58,172.217.239.73,UDP,67,1958,2025-05-02 06:46:06
192.168.1.152,8.8.7.206,TCP,443,2385,2025-05-07 16:57:39
10.10.10.10,8.8.4.176,TCP,443,2673,2025-05-01 02:03:48
192.168.1.68,8.8.4.225,TCP,25,3255,2025-05-06 21:14:13
10.10.10.10,172.217.76.205,TCP,50655,6673,2025-05-05 06:20:51
192.168.1.115,172.217.48.158,TCP,80,453,2025-05-06 01:33:08
192.168.1.219,172.217.254.213,ICMP,0,296,2025-05-01 22:47:14
192.168.1.68,8.8.8.36,TCP,53,3655,2025-05-07 22:30:05
10.10.10.10,172.217.101.83,UDP,53,2877,2025-05-01 19:12:00
192.168.1.26,8.8.7.43,ICMP,0,507,2025-05-04 23:06:00
10.10.10.10,1.1.1.61,UDP,500,6179,2025-05-07 10:06:27
192.168.1.75,172.217.72.245,TCP,23,1707,2025-05-01 01:02:55
192.168.1.246,8.8.5.214,TCP,143,2611,2025-05-06 16:02:10
10.10.10.10,8.8.6.253,TCP,22,4895,2025-05-01 10:10:15
192.168.1.56,8.8.5.194,UDP,1194,488,2025-05-07 19:22:12
10.10.10.10,172.217.33.233,TCP,53,6989,2025-05-05 09:22:56
10.10.10.10,172.217.25.153,UDP,1194,2297,2025-05-03 21:21:57
192.168.1.68,8.8.8.197,TCP,46790,3806,2025-05-06 12:10:04
192.168.1.93,8.8.5.174,TCP,3389,1274,2025-05-03 13:30:49
10.10.10.11,172.217.200.255,UDP,34944,4065,2025-05-03 22:00:12
192.168.1.161,172.217.89.89,UDP,39852,613,2025-05-04 21:52:40
192.168.1.167,1.1.1.105,TCP,3389,4176,2025-05-05 06:07:04
192.168.1.180,8.8.6.90,TCP,53,1389,2025-05-01 09:58:07
10.10.10.11,172.217.135.248,TCP,21,3762,2025-05-02 23:47:21
10.10.10.11,1.1.1.252,TCP,20,7631,2025-05-04 11:04:53
10.10.10.11,172.217.133.214,UDP,67,4275,2025-05-06 18:18:05
10.10.10.10,8.8.7.54,TCP,3389,5552,2025-05-04 07:15:29
192.168.1.21,1.1.1.49,TCP,445,2890,2025-05-02 13:13:21
10.10.10.11,172.217.17.139,UDP,123,4635,2025-05-01 02:19:43
10.10.10.11,8.8.6.118,TCP,110,7728,2025-05-03 20:50:14
192.168.1.23,8.8.5.72,UDP,67,1292,2025-05-04 22:28:30
192.168.1.56,172.217.245.246,UDP,55130,511,2025-05-04 00:04:46
10.10.10.11,8.8.5.83,UDP,64667,6038,2025-05-05 13:15:29
192.168.1.18,172.217.17.139,TCP,34540,2484,2025-05-02 18:55:32
10.10.10.11,172.217.2.99,TCP,44214,2701,2025-05-03 16:56:00
10.10.10.11,8.8.5.178,TCP,20,4551,2025-05-05 14:02:11
192.168.1.75,8.8.4.142,ICMP,0,202,2025-05-03 03:04:07
192.168.1.36,8.8.4.136,TCP,110,717,2025-05-01 05:09:30
192.168.1.140,172.217.2.99,UDP,67,723,2025-05-02 19:12:19
10.10.10.11,172.217.239.73,UDP,63376,6348,2025-05-07 23:58:23
10.10.10.10,172.217.218.76,UDP,500,4779,2025-05-04 22:20:48
192.168.1.144,8.8.7.179,TCP,80,622,2025-05-06 04:59:06
192.168.1.142,8.8.5.83,UDP,41591,766,2025-05-04 15:48:40
192.168.1.179,1.1.1.111,TCP,22,3795,2025-05-04 20:23:11
10.10.10.10,1.1.1.240,UDP,1194,1757,2025-05-01 04:17:26
192.168.1.198,172.217.213.113,TCP,50494,1583,2025-05-01 07:57:58
192.168.1.9,172.217.255.155,TCP,443,1826,2025-05-01 22:39:48
192.168.1.23,8.8.5.30,TCP,143,3337,2025-05-05 00:09:58
10.10.10.10,8.8.6.216,UDP,24412,5361,2025-05-03 22:14:42
10.10.10.10,172.217.152.85,UDP,53,2356,2025-05-06 20:37:30
10.10.10.10,172.217.124.151,TCP,53,7671,2025-05-06 11:45:29
10.10.10.11,1.1.1.167,TCP,11959,4785,2025-05-05 08:15:58
10.10.10.10,1.1.1.16,TCP,143,2615,2025-05-03 03:56:11
10.10.10.11,8.8.8.174,UDP,67,3908,2025-05-04 07:56:26
192.168.1.170,1.1.1.17,UDP,123,606,2025-05-03 14:03:35
10.10.10.11,8.8.4.66,UDP,1194,5599,2025-05-06 00:57:26
192.168.1.180,8.8.4.40,TCP,53715,2520,2025-05-07 23:12:49
192.168.1.164,8.8.7.54,TCP,25,252,2025-05-05 17:34:49
10.10.10.10,1.1.1.103,TCP,22,5314,2025-05-01 17:55:18
192.168.1.130,8.8.6.247,TCP,53,1741,2025-05-02 09:49:06
10.10.10.10,1.1.1.59,UDP,3666,5165,2025-05-06 02:06:29
10.10.10.11,1.1.1.25,TCP,445,4900,2025-05-03 21:06:50
192.168.1.159,8.8.5.238,TCP,80,4561,2025-05-06 10:44:25
192.168.1.223,172.217.14.144,TCP,34061,3351,2025-05-06 01:56:41
10.10.10.10,8.8.7.162,UDP,69,6269,2025-05-01 22:57:48
192.168.1.12,1.1.1.25,TCP,110,3672,2025-05-03 13:19:19
10.10.10.10,8.8.6.135,TCP,445,1880,2025-05-04 23:08:24
192.168.1.217,1.1.1.240,UDP,1194,493,2025-05-02 04:50:18
192.168.1.196,172.217.144.179,UDP,514,1884,2025-05-07 14:54:39
192.168.1.130,1.1.1.50,TCP,8080,3713,2025-05-04 00:09:41
10.10.10.10,1.1.1.224,TCP,25,4437,2025-05-07 07:29:07
10.10.10.11,1.1.1.139,UDP,56041,8767,2025-05-02 08:12:54
192.168.1.227,172.217.200.255,UDP,28889,880,2025-05-04 03:56:03
10.10.10.10,172.217.33.233,TCP,143,7701,2025-05-01 05:05:49
192.168.1.109,172.217.200.139,TCP,25,4760,2025-05-07 10:40:22
192.168.1.12,8.8.7.228,TCP,80,1966,2025-05-06 13:07:27
10.10.10.10,1.1.1.24,TCP,22329,6851,2025-05-05 09:55:59
10.10.10.11,8.8.5.72,TCP,44159,8862,2025-05-03 15:30:10
192.168.1.181,172.217.149.141,TCP,80,2044,2025-05-05 21:39:49
10.10.10.11,1.1.1.19,TCP,110,7846,2025-05-01 13:30:34
192.168.1.98,1.1.1.224,TCP,143,1991,2025-05-07 07:46:43
192.168.1.138,1.1.1.169,TCP,7400,3937,2025-05-03 01:43:00
192.168.1.109,172.217.94.154,ICMP,0,107,2025-05-02 11:02:04
192.168.1.115,172.217.172.219,TCP,22349,2226,2025-05-06 03:45:03
10.10.10.10,1.1.1.139,TCP,19270,7647,2025-05-04 15:59:22
192.168.1.170,1.1.1.207,TCP,7757,439,2025-05-03 17:14:56
192.168.1.2,8.8.8.20,TCP,3389,2900,2025-05-01 18:09:16
10.10.10.10,1.1.1.207,TCP,3479,3047,2025-05-07 19:10:29
192.168.1.72,172.217.18.194,UDP,161,1772,2025-05-02 19:52:08
192.168.1.58,1.1.1.252,TCP,110,2307,2025-05-03 06:14:03
10.10.10.11,172.217.80.254,UDP,123,4443,2025-05-02 20:37:49
10.10.10.11,172.217.89.89,UDP,68,2626,2025-05-03 08:14:48
192.168.1.207,172.217.238.235,ICMP,0,48,2025-05-04 11:37:16
10.10.10.11,8.8.7.191,UDP,14755,4115,2025-05-03 09:31:14
10.10.10.10,172.217.235.93,UDP,161,1762,2025-05-06 07:35:40
10.10.10.10,172.217.188.90,TCP,23,1953,2025-05-04 05:02:30
192.168.1.148,172.217.68.0,UDP,68,657,2025-05-01 13:14:12
10.10.10.11,1.1.1.9,UDP,500,7573,2025-05-06 05:52:31
192.168.1.174,8.8.8.70,UDP,123,1187,2025-05-06 20:41:29
10.10.10.11,1.1.1.201,UDP,12414,7670,2025-05-06 03:35:26
192.168.1.25,8.8.6.216,TCP,49246,2866,2025-05-06 09:24:48
10.10.10.11,172.217.18.194,TCP,23,3014,2025-05-03 20:21:28
10.10.10.10,1.1.1.182,TCP,143,8832,2025-05-04 00:06:42
192.168.1.189,1.1.1.106,TCP,23,4807,2025-05-01 10:06:14
192.168.1.58,8.8.6.247,TCP,110,4949,2025-05-07 18:22:03
10.10.10.11,172.217.20.131,TCP,443,7996,2025-05-03 19:08:11
10.10.10.11,8.8.6.153,TCP,20,6844,2025-05-06 15:51:06
10.10.10.10,172.217.237.213,TCP,443,5385,2025-05-04 17:31:44
10.10.10.11,172.217.255.155,UDP,33220,4363,2025-05-06 14:52:28
192.168.1.217,172.217.39.161,UDP,68,1235,2025-05-06 05:15:08
10.10.10.10,8.8.4.187,TCP,63558,4073,2025-05-05 08:14:23
10.10.10.10,1.1.1.16,TCP,143,8046,2025-05-02 00:22:33
192.168.1.98,8.8.8.102,TCP,28609,924,2025-05-02 16:56:54
192.168.1.108,172.217.61.27,TCP,445,4856,2025-05-04 01:48:08
10.10.10.11,8.8.6.133,TCP,443,3648,2025-05-07 03:16:28
192.168.1.174,8.8.8.172,UDP,69,615,2025-05-05 23:16:39
192.168.1.189,1.1.1.221,TCP,8080,1808,2025-05-02 03:08:36
10.10.10.11,172.217.152.85,UDP,44121,4604,2025-05-02 11:34:06
192.168.1.89,8.8.5.214,TCP,3389,970,2025-05-06 12:26:13
192.168.1.184,1.1.1.57,TCP,445,3727,2025-05-04 22:12:42
192.168.1.221,8.8.6.153,TCP,143,731,2025-05-04 13:17:37
192.168.1.21,172.217.25.153,TCP,143,1961,2025-05-06 21:54:58
10.10.10.11,1.1.1.17,UDP,68,8615,2025-05-07 19:18:26
192.168.1.9,8.8.7.50,TCP,445,457,2025-05-02 10:08:20
10.10.10.10,1.1.1.98,TCP,443,6125,2025-05-05 22:02:22
192.168.1.118,1.1.1.166,TCP,445,992,2025-05-01 08:07:06
10.10.10.10,1.1.1.57,TCP,56846,5623,2025-05-04 01:10:03
192.168.1.58,8.8.8.174,UDP,53860,1624,2025-05-02 07:10:49
10.10.10.11,172.217.145.215,TCP,8080,4208,2025-05-03 06:47:07
10.10.10.11,8.8.4.218,UDP,161,5270,2025-05-07 04:50:56
10.10.10.10,8.8.5.152,TCP,143,5457,2025-05-06 23:29:28
10.10.10.10,8.8.4.119,TCP,28535,5488,2025-05-01 04:04:31
192.168.1.51,172.217.52.75,UDP,500,1058,2025-05-01 08:27:14
192.168.1.237,172.217.2.99,TCP,22,561,2025-05-01 17:37:09
10.10.10.10,8.8.7.110,TCP,143,1905,2025-05-05 07:04:14
192.168.1.68,8.8.5.174,TCP,445,4515,2025-05-01 12:39:54
10.10.10.10,8.8.7.43,UDP,123,4078,2025-05-06 03:22:47
10.10.10.11,8.8.4.225,UDP,500,6662,2025-05-03 15:59:42
192.168.1.51,1.1.1.114,UDP,123,1095,2025-05-06 03:11:13
10.10.10.11,8.8.8.203,TCP,53,1689,2025-05-03 05:52:57
192.168.1.190,8.8.4.176,ICMP,0,367,2025-05-01 14:20:05
192.168.1.217,172.217.159.5,UDP,69,665,2025-05-07 01:01:24
192.168.1.23,8.8.8.224,TCP,4684,1280,2025-05-07 00:40:03
10.10.10.11,172.217.183.89,TCP,22,3099,2025-05-01 15:47:44
192.168.1.58,172.217.135.105,UDP,67,302,2025-05-02 14:13:26
10.10.10.11,8.8.5.235,UDP,161,1584,2025-05-01 04:17:20
192.168.1.56,172.217.183.234,TCP,23,225,2025-05-04 21:50:33
192.168.1.7,1.1.1.105,TCP,23,1965,2025-05-04 10:25:12
10.10.10.10,172.217.220.161,TCP,45217,8194,2025-05-04 06:45:51
10.10.10.11,172.217.17.139,UDP,46501,3474,2025-05-04 14:55:56
10.10.10.10,172.217.33.130,UDP,161,2840,2025-05-05 07:57:34
192.168.1.76,172.217.72.245,TCP,53,868,2025-05-05 02:57:02
192.168.1.246,8.8.8.80,TCP,22,2590,2025-05-07 03:15:54
192.168.1.148,8.8.8.2,UDP,68,1290,2025-05-05 03:30:45
192.168.1.118,172.217.47.147,UDP,161,1187,2025-05-05 19:02:26
192.168.1.196,1.1.1.139,TCP,23,1441,2025-05-07 10:16:18
192.168.1.108,8.8.6.90,ICMP,0,276,2025-05-01 20:37:48
10.10.10.11,172.217.112.45,UDP,22157,4185,2025-05-05 08:24:47
192.168.1.75,172.217.145.215,TCP,22,1783,2025-05-03 17:54:24
192.168.1.161,172.217.20.253,TCP,21,450,2025-05-03 22:28:10
10.10.10.11,8.8.7.10,TCP,53,2103,2025-05-07 22:26:56
10.10.10.10,172.217.239.73,UDP,16527,1619,2025-05-02 19:30:33
192.168.1.196,8.8.8.76,UDP,161,1445,2025-05-06 13:36:43
10.10.10.11,172.217.103.94,UDP,1194,5127,2025-05-05 14:57:00
10.10.10.10,1.1.1.221,TCP,143,7207,2025-05-07 02:09:44
10.10.10.11,172.217.124.151,UDP,67,6598,2025-05-04 04:01:38
10.10.10.11,8.8.7.228,TCP,110,8696,2025-05-05 19:01:14
10.10.10.10,172.217.122.15,UDP,63345,2173,2025-05-07 15:30:14
192.168.1.148,172.217.133.214,TCP,11129,1602,2025-05-05 02:20:19
192.168.1.207,8.8.5.194,UDP,161,1912,2025-05-01 17:35:38
10.10.10.11,1.1.1.162,TCP,22,1770,2025-05-03 16:19:10
10.10.10.10,172.217.171.244,TCP,443,2615,2025-05-03 10:08:25
192.168.1.57,8.8.4.230,UDP,514,135,2025-05-02 12:46:01
10.10.10.11,1.1.1.166,TCP,110,1921,2025-05-02 05:49:37
192.168.1.24,1.1.1.162,TCP,25,2200,2025-05-07 09:27:16
10.10.10.10,172.217.72.245,UDP,31828,7689,2025-05-06 21:02:42
10.10.10.11,8.8.7.10,UDP,68,2491,2025-05-06 19:28:01
10.10.10.11,8.8.8.63,TCP,110,4999,2025-05-06 19:30:01
192.168.1.159,172.217.89.89,TCP,21,2764,2025-05-07 23:42:07
192.168.1.40,1.1.1.147,UDP,161,795,2025-05-05 23:58:59
192.168.1.159,1.1.1.34,UDP,514,1809,2025-05-06 14:12:04
192.168.1.108,8.8.5.83,ICMP,0,501,2025-05-04 00:48:47
192.168.1.167,8.8.5.95,UDP,123,667,2025-05-06 16:00:38
10.10.10.11,1.1.1.132,TCP,110,4860,2025-05-04 16:09:46
192.168.1.115,8.8.7.43,TCP,443,2134,2025-05-05 22:13:01
10.10.10.10,172.217.171.116,TCP,22,2248,2025-05-01 19:48:12
192.168.1.167,172.217.66.194,TCP,8147,3792,2025-05-06 07:58:18
10.10.10.11,8.8.6.232,TCP,22,2719,2025-05-01 00:51:03
10.10.10.11,1.1.1.61,TCP,110,8272,2025-05-03 21:23:15
192.168.1.164,172.217.12.215,UDP,56702,855,2025-05-06 09:57:18
10.10.10.10,8.8.5.83,TCP,20,4003,2025-05-01 18:37:50
10.10.10.10,8.8.4.230,TCP,22,3790,2025-05-07 13:48:07
192.168.1.9,8.8.5.72,TCP,80,2913,2025-05-07 20:49:03
10.10.10.11,172.217.245.246,UDP,53,4513,2025-05-04 03:16:58
192.168.1.161,8.8.7.255,TCP,443,3748,2025-05-05 19:03:06
192.168.1.148,1.1.1.18,TCP,20,4303,2025-05-07 02:56:56
192.168.1.208,172.217.107.83,TCP,443,4829,2025-05-03 03:07:35
10.10.10.10,1.1.1.28,UDP,68,4806,2025-05-03 16:33:39
192.168.1.87,172.217.14.163,TCP,53,1292,2025-05-01 12:54:49
192.168.1.253,8.8.7.123,UDP,500,973,2025-05-05 14:45:24
192.168.1.97,8.8.6.100,UDP,1194,863,2025-05-07 05:26:06
10.10.10.10,172.217.89.89,UDP,1194,6986,2025-05-04 12:12:29
10.10.10.11,1.1.1.105,TCP,46560,1883,2025-05-06 02:17:47
192.168.1.196,8.8.7.172,TCP,143,1551,2025-05-06 07:46:09
10.10.10.11,8.8.8.172,UDP,54724,4407,2025-05-01 09:37:00
10.10.10.10,8.8.5.178,UDP,68,4146,2025-05-05 12:07:27
192.168.1.208,172.217.62.138,TCP,23,2892,2025-05-03 22:48:00
192.168.1.208,1.1.1.59,UDP,500,159,2025-05-02 11:53:24
192.168.1.161,1.1.1.50,ICMP,0,430,2025-05-05 15:13:42
10.10.10.11,8.8.5.252,UDP,67,7093,2025-05-04 20:42:22
192.168.1.223,8.8.7.54,UDP,161,562,2025-05-02 12:40:40
10.10.10.11,1.1.1.9,UDP,26314,6526,2025-05-06 16:40:56
10.10.10.11,172.217.213.113,UDP,68,3647,2025-05-01 03:43:35
192.168.1.60,8.8.6.58,ICMP,0,237,2025-05-01 16:18:36
192.168.1.152,8.8.5.238,UDP,69,880,2025-05-04 23:36:47
192.168.1.187,8.8.7.255,TCP,47202,1831,2025-05-04 07:48:06
192.168.1.221,172.217.67.229,TCP,23,1280,2025-05-01 04:25:20
10.10.10.10,1.1.1.63,UDP,67,2704,2025-05-07 12:18:18
192.168.1.12,1.1.1.168,TCP,110,2329,2025-05-02 21:50:39
192.168.1.25,172.217.135.105,TCP,445,1228,2025-05-02 15:06:40
192.168.1.164,1.1.1.132,TCP,53,482,2025-05-04 10:24:11
192.168.1.63,172.217.180.28,TCP,443,1685,2025-05-06 03:51:41
192.168.1.8,1.1.1.85,TCP,8080,2377,2025-05-06 21:32:10
192.168.1.181,1.1.1.36,TCP,2872,3080,2025-05-07 21:20:25
10.10.10.10,1.1.1.147,UDP,67,7393,2025-05-06 14:23:39
192.168.1.72,172.217.225.24,TCP,23,276,2025-05-04 15:42:23
192.168.1.32,1.1.1.138,TCP,21,1694,2025-05-02 15:47:40
10.10.10.11,1.1.1.132,TCP,20,2964,2025-05-07 09:31:14
192.168.1.18,172.217.142.71,TCP,22,4044,2025-05-03 09:00:22
192.168.1.174,172.217.252.188,TCP,3389,1484,2025-05-07 18:49:41
192.168.1.142,8.8.6.41,TCP,23,954,2025-05-06 02:17:59
10.10.10.10,172.217.149.141,UDP,123,8660,2025-05-07 12:57:22
10.10.10.11,8.8.7.255,UDP,161,5537,2025-05-02 09:17:21
10.10.10.10,8.8.5.68,TCP,20,5993,2025-05-07 07:10:07
10.10.10.11,172.217.152.85,UDP,68,6707,2025-05-04 16:40:17
10.10.10.11,1.1.1.24,TCP,23,4759,2025-05-07 11:48:12
10.10.10.11,8.8.5.30,UDP,1194,3152,2025-05-07 00:44:31
192.168.1.189,1.1.1.205,TCP,3389,3088,2025-05-06 06:41:08
192.168.1.142,1.1.1.122,TCP,53,2312,2025-05-05 13:22:34
10.10.10.11,172.217.225.129,UDP,1194,7600,2025-05-03 06:42:24
10.10.10.10,1.1.1.187,UDP,68,6350,2025-05-06 04:18:04
10.10.10.11,172.217.117.83,TCP,8080,4613,2025-05-01 12:47:31
192.168.1.58,172.217.152.85,TCP,22,4621,2025-05-01 05:48:07
10.10.10.11,172.217.252.62,TCP,8080,8807,2025-05-03 06:48:43
192.168.1.250,1.1.1.167,TCP,80,559,2025-05-04 01:42:09
192.168.1.151,1.1.1.49,TCP,20,666,2025-05-05 11:24:09
192.168.1.151,172.217.39.161,TCP,45803,3293,2025-05-03 01:02:40
192.168.1.41,1.1.1.85,TCP,40728,1677,2025-05-07 23:47:00
192.168.1.140,172.217.158.144,TCP,20,1610,2025-05-04 08:13:12
10.10.10.10,8.8.8.174,UDP,68,4743,2025-05-02 14:48:32
10.10.10.10,172.217.149.141,TCP,143,4542,2025-05-05 00:47:38
10.10.10.10,172.217.117.83,TCP,25,6370,2025-05-07 12:46:25
192.168.1.51,172.217.89.89,TCP,53,1300,2025-05-05 00:34:28
10.10.10.10,172.217.188.90,TCP,1803,7798,2025-05-04 20:44:44
10.10.10.10,1.1.1.25,TCP,18608,3557,2025-05-03 05:10:23
192.168.1.152,172.217.144.33,TCP,53,1212,2025-05-06 15:42:13
10.10.10.10,8.8.5.235,TCP,143,7403,2025-05-05 20:46:59
10.10.10.11,8.8.5.110,UDP,1194,8445,2025-05-04 12:30:16
10.10.10.10,172.217.171.116,TCP,445,4498,2025-05-01 04:19:12
10.10.10.11,8.8.4.66,UDP,68,7911,2025-05-02 04:28:29
192.168.1.208,172.217.172.219,ICMP,0,323,2025-05-03 08:24:31
192.168.1.50,172.217.20.253,UDP,161,1520,2025-05-01 10:52:58
10.10.10.11,172.217.47.147,UDP,53,6405,2025-05-06 15:15:18
192.168.1.164,1.1.1.167,TCP,110,2199,2025-05-07 08:29:51
10.10.10.10,1.1.1.2,TCP,143,4722,2025-05-03 20:05:10
10.10.10.10,1.1.1.49,TCP,110,6927,2025-05-03 08:45:33
10.10.10.10,172.217.255.1,TCP,20,3502,2025-05-05 13:53:38
192.168.1.24,172.217.39.161,TCP,53205,4836,2025-05-01 11:57:44
192.168.1.167,172.217.80.73,TCP,21,4037,2025-05-06 19:03:27
10.10.10.10,8.8.6.27,UDP,514,2521,2025-05-02 21:25:47
10.10.10.10,172.217.73.7,UDP,20980,2015,2025-05-06 07:32:22
192.168.1.152,1.1.1.147,UDP,514,113,2025-05-07 20:04:32
192.168.1.93,1.1.1.193,TCP,445,4918,2025-05-07 15:00:01
192.168.1.223,172.217.237.213,TCP,23,4301,2025-05-06 13:23:53
192.168.1.63,172.217.63.8,TCP,25,1349,2025-05-03 06:29:47
10.10.10.10,172.217.165.64,TCP,8080,4899,2025-05-02 08:37:35
10.10.10.10,172.217.251.222,UDP,68,8819,2025-05-06 11:19:29
10.10.10.11,1.1.1.169,TCP,21,6886,2025-05-04 12:58:44
192.168.1.40,172.217.116.124,ICMP,0,434,2025-05-02 14:12:50
10.10.10.10,1.1.1.91,TCP,54790,4576,2025-05-03 21:43:58
192.168.1.115,172.217.40.78,TCP,445,4055,2025-05-04 11:13:48
10.10.10.11,8.8.7.11,TCP,20,4117,2025-05-03 19:36:22
10.10.10.10,8.8.8.20,TCP,445,2360,2025-05-04 15:14:21
10.10.10.10,172.217.77.114,UDP,500,4924,2025-05-03 20:29:06
192.168.1.76,1.1.1.59,TCP,80,857,2025-05-04 23:42:05
10.10.10.10,172.217.239.73,UDP,67,6179,2025-05-05 08:58:17
10.10.10.10,172.217.73.7,TCP,143,1992,2025-05-02 14:20:28
10.10.10.10,8.8.4.187,TCP,22,3594,2025-05-03 15:02:36
10.10.10.10,8.8.5.95,UDP,67,8920,2025-05-06 10:47:32
10.10.10.10,172.217.200.139,UDP,1194,6557,2025-05-04 00:31:10
10.10.10.10,8.8.5.214,UDP,500,8107,2025-05-03 07:08:15
192.168.1.138,1.1.1.50,TCP,20,779,2025-05-07 15:22:14
192.168.1.144,172.217.133.214,TCP,20,887,2025-05-06 04:50:33
10.10.10.10,172.217.188.90,TCP,21,8731,2025-05-07 20:41:39
192.168.1.213,172.217.124.151,TCP,25,2340,2025-05-07 12:09:06
192.168.1.152,172.217.61.27,TCP,110,3466,2025-05-06 01:09:56
192.168.1.50,172.217.33.130,TCP,8080,4078,2025-05-03 12:57:53
192.168.1.246,1.1.1.132,TCP,21,453,2025-05-03 12:17:42
10.10.10.10,172.217.112.45,UDP,68,4614,2025-05-01 04:16:46
